Date,SPY,QQQ,IWM,IEF,TLT
2010-01-04,84.57849884033203,40.246551513671875,51.24470520019531,61.34645462036133,55.722835540771484
2010-01-05,84.80236053466797,40.246551513671875,51.06849670410156,61.61587142944336,56.08272933959961
2010-01-06,84.8620834350586,40.0037956237793,51.02043533325195,61.3671875,55.331974029541016
2010-01-07,85.22030639648438,40.02981185913086,51.39687728881836,61.3671875,55.42504119873047
2010-01-08,85.50389099121094,40.35927200317383,51.67720413208008,61.44316101074219,55.400230407714844
2010-01-11,85.62330627441406,40.194541931152344,51.468955993652344,61.48456954956055,55.096153259277344
2010-01-12,84.82477569580078,39.69166946411133,50.908294677734375,61.92664337158203,56.03927993774414
2010-01-13,85.54119873046875,40.18586349487305,51.56508255004883,61.629638671875,55.38780212402344
2010-01-14,85.7725601196289,40.22055435180664,51.75731658935547,61.919742584228516,56.16337203979492
2010-01-15,84.80986022949219,39.75236129760742,51.0044059753418,62.19600296020508,56.51085662841797
2010-01-19,85.86956787109375,40.39393997192383,51.94153594970703,62.08551025390625,56.34947967529297
2010-01-20,84.99638366699219,39.813072204589844,51.18863296508789,62.29959487915039,56.92032241821289
2010-01-21,83.36198425292969,39.44025802612305,50.34764862060547,62.527523040771484,57.1809196472168
2010-01-22,81.50370025634766,38.28711700439453,49.44256591796875,62.58277130126953,57.081661224365234
2010-01-25,81.92164611816406,38.417179107666016,49.49863052368164,62.44462966918945,56.82106018066406
2010-01-26,81.57836151123047,38.45184326171875,49.01005554199219,62.56895065307617,56.83963394165039
2010-01-27,81.96644592285156,38.75530242919922,49.53068542480469,62.4239387512207,56.80866622924805
2010-01-28,81.02609252929688,37.75825500488281,48.681663513183594,62.40321350097656,56.77763366699219
2010-01-29,80.14546966552734,37.099308013916016,48.14502716064453,62.6449089050293,57.27396774291992
2010-02-01,81.39179229736328,37.50680160522461,48.71369934082031,62.43010711669922,56.75409698486328
2010-02-02,82.37687683105469,37.844947814941406,49.25032043457031,62.534080505371094,56.915977478027344
2010-02-03,81.96644592285156,38.05302047729492,48.921966552734375,62.23606872558594,56.25593948364258
2010-02-04,79.43647003173828,36.951934814453125,47.28801345825195,62.74890899658203,57.14634704589844
2010-02-05,79.60063171386719,37.26404571533203,47.47222900390625,62.949851989746094,57.27090072631836
2010-02-08,79.02599334716797,36.99527359008789,46.99966049194336,62.89445877075195,57.34558868408203
2010-02-09,80.01856994628906,37.37676239013672,47.64842224121094,62.554874420166016,56.772727966308594
2010-02-10,79.86186981201172,37.29873275756836,47.760562896728516,62.38155746459961,56.2310791015625
2010-02-11,80.69770812988281,37.86228561401367,48.521480560302734,62.3054313659668,55.92597198486328
2010-02-12,80.63053894042969,37.9403190612793,48.873897552490234,62.45091247558594,56.15631866455078
2010-02-16,81.89923095703125,38.42584991455078,49.69886779785156,62.589500427246094,56.26219940185547
2010-02-17,82.28730010986328,38.64259719848633,50.03527069091797,62.25688552856445,55.620849609375
2010-02-18,82.77242279052734,38.88535690307617,50.44375228881836,62.03511047363281,55.39668273925781
2010-02-19,82.94407653808594,38.868011474609375,50.507835388183594,62.06973648071289,55.69557571411133
2010-02-22,82.95899963378906,38.78998947143555,50.659996032714844,62.021240234375,55.4652099609375
2010-02-23,81.95150756835938,38.28711700439453,50.067298889160156,62.49249267578125,56.33068084716797
2010-02-24,82.7052993774414,38.67729568481445,50.49179458618164,62.52714920043945,56.467674255371094
2010-02-25,82.59329223632812,38.66859817504883,50.507835388183594,62.75577926635742,56.78518295288086
2010-02-26,82.64553833007812,38.807315826416016,50.29957580566406,62.852760314941406,57.077823638916016
2010-03-01,83.50381469726562,39.370872497558594,51.468955993652344,62.91815185546875,57.0528564453125
2010-03-02,83.73515319824219,39.49225997924805,51.861427307128906,62.9528923034668,56.97792434692383
2010-03-03,83.8097915649414,39.535614013671875,52.157779693603516,62.890380859375,56.83427047729492
2010-03-04,84.06351470947266,39.66566848754883,52.2939453125,63.00156021118164,57.134063720703125
2010-03-05,85.26508331298828,40.26390075683594,53.35920715332031,62.70271682739258,56.3845100402832
2010-03-08,85.27997589111328,40.34192657470703,53.455318450927734,62.53596878051758,56.0909423828125
2010-03-09,85.42179870605469,40.56736373901367,53.64754104614258,62.69585418701172,56.103424072265625
2010-03-10,85.80242919921875,40.896827697753906,54.10408020019531,62.59156036376953,55.959815979003906
2010-03-11,86.16061401367188,41.05287170410156,54.26428985595703,62.53596878051758,56.165897369384766
2010-03-12,86.1680908203125,41.061546325683594,54.2402458190918,62.633235931396484,56.515689849853516
2010-03-15,86.19049072265625,40.95749282836914,54.0560417175293,62.633235931396484,56.44071578979492
2010-03-16,86.87710571289062,41.21761703491211,54.52057647705078,62.87647247314453,56.89044189453125
2010-03-17,87.39203643798828,41.33030319213867,54.84095001220703,62.9528923034668,57.134063720703125
2010-03-18,87.34728240966797,41.469051361083984,54.672767639160156,62.78609848022461,56.9466667175293
2010-03-19,86.90515899658203,41.21821212768555,53.99195861816406,62.70271682739258,57.002899169921875
2010-03-22,87.36975860595703,41.59142303466797,54.75285339355469,62.9112548828125,57.06538772583008
2010-03-23,87.98424530029297,41.87785339355469,55.44968032836914,62.77919006347656,56.79677200317383
2010-03-24,87.55709075927734,41.67822265625,54.81696319580078,62.153846740722656,55.759918212890625
2010-03-25,87.41468048095703,41.617462158203125,54.471702575683594,61.92447280883789,55.40388870239258
2010-03-26,87.36225891113281,41.660858154296875,54.44758224487305,62.0704231262207,55.560020446777344
2010-03-29,87.91677856445312,41.86048126220703,54.74468994140625,61.980133056640625,55.347633361816406
2010-03-30,87.97673034667969,41.99936294555664,54.9133186340332,62.04263687133789,55.522552490234375
2010-03-31,87.6769790649414,41.79973602294922,54.439579010009766,62.18855285644531,55.903560638427734
2010-04-01,88.27650451660156,41.79973602294922,54.9454345703125,62.05966567993164,55.766902923583984
2010-04-05,88.99588775634766,42.1902961730957,55.97321701049805,61.502197265625,54.83902359008789
